GO.ID	Term
GO:0016886	Ligase activity, forming phosphoric ester bonds
GO:0016887	ATP hydrolysis activity
GO:0016888	Endodeoxyribonuclease activity, producing 5-phosphomonoesters
GO:0016889	Endodeoxyribonuclease activity, producing 3-phosphomonoesters
GO:0016891	Endoribonuclease activity, producing 5-phosphomonoesters
GO:0016893	Endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5-phosphomonoesters
GO:0016894	Endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3-phosphomonoesters
GO:0016895	Exodeoxyribonuclease activity, producing 5-phosphomonoesters
GO:0016896	Exoribonuclease activity, producing 5-phosphomonoesters
GO:0016899	Oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor
GO:0016901	Oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor
GO:0016903	Oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0016920	Pyroglutamyl-peptidase activity
GO:0016977	Chitosanase activity
GO:0016979	Lipoate-protein ligase activity
GO:0016984	Ribulose-bisphosphate carboxylase activity
GO:0016985	Mannan endo-1,4-beta-mannosidase activity
GO:0016987	Sigma factor activity
GO:0016989	Sigma factor antagonist activity
GO:0016990	Arginine deiminase activity
GO:0016992	Lipoate synthase activity
GO:0016998	Cell wall macromolecule catabolic process
GO:0016999	Antibiotic metabolic process
GO:0017000	Antibiotic biosynthetic process
GO:0017001	Antibiotic catabolic process
GO:0017004	Cytochrome complex assembly
GO:0017018	Myosin phosphatase activity
GO:0017038	Protein import
GO:0017053	Transcription repressor complex
GO:0017057	6-phosphogluconolactonase activity
GO:0017061	S-methyl-5-thioadenosine phosphorylase activity
GO:0017076	Purine nucleotide binding
GO:0017108	5-flap endonuclease activity
GO:0017111	Nucleoside-triphosphatase activity
GO:0017116	Single-stranded DNA helicase activity
GO:0017118	Lipoyltransferase activity
GO:0017136	NAD-dependent histone deacetylase activity
GO:0017148	Negative regulation of translation
GO:0017150	tRNA dihydrouridine synthase activity
GO:0017168	5-oxoprolinase (ATP-hydrolyzing) activity
GO:0017169	CDP-alcohol phosphatidyltransferase activity
GO:0017171	Serine hydrolase activity
GO:0017172	Cysteine dioxygenase activity
GO:0017187	Peptidyl-glutamic acid carboxylation
GO:0017189	N-terminal peptidyl-alanine acetylation
GO:0017198	N-terminal peptidyl-serine acetylation
GO:0018104	Peptidoglycan-protein cross-linking
GO:0018105	Peptidyl-serine phosphorylation
GO:0018106	Peptidyl-histidine phosphorylation
GO:0018108	Peptidyl-tyrosine phosphorylation
GO:0018111	Methionine racemase activity
GO:0018113	Lysine racemase activity
GO:0018130	Heterocycle biosynthetic process
GO:0018131	Oxazole or thiazole biosynthetic process
GO:0018142	protein-DNA covalent cross-linking
GO:0018143	Nucleic acid-protein covalent cross-linking
GO:0018149	Peptide cross-linking
GO:0018153	Isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine
GO:0018160	Peptidyl-pyrromethane cofactor linkage
GO:0018193	Peptidyl-amino acid modification
GO:0018194	Peptidyl-alanine modification
GO:0018198	Peptidyl-cysteine modification
GO:0018199	Peptidyl-glutamine modification
GO:0018200	Peptidyl-glutamic acid modification
GO:0018202	Peptidyl-histidine modification
GO:0018205	Peptidyl-lysine modification
GO:0018206	Peptidyl-methionine modification
GO:0018208	Peptidyl-proline modification
GO:0018209	Peptidyl-serine modification
GO:0018212	Peptidyl-tyrosine modification
GO:0018214	Protein carboxylation
GO:0018215	Protein phosphopantetheinylation
GO:0018240	Protein S-linked glycosylation via cysteine
GO:0018262	Isopeptide cross-linking
GO:0018271	Biotin-protein ligase activity
GO:0018277	Protein deamination
GO:0018280	Protein S-linked glycosylation
GO:0018315	Molybdenum incorporation into molybdenum-molybdopterin complex
GO:0018364	Peptidyl-glutamine methylation
GO:0018410	C-terminal protein amino acid modification
GO:0018455	Alcohol dehydrogenase [NAD(P)+] activity
GO:0018478	Malonate-semialdehyde dehydrogenase (acetylating) activity
GO:0018479	Benzaldehyde dehydrogenase (NAD+) activity
GO:0018545	NAD(P)H nitroreductase activity
GO:0018548	Pentaerythritol trinitrate reductase activity
GO:0018577	Catechol 2,3-dioxygenase activity
GO:0018580	Nitronate monooxygenase activity
GO:0018773	Acetylpyruvate hydrolase activity
GO:0018799	4-hydroxybenzoate decarboxylase activity
GO:0018958	Phenol-containing compound metabolic process
GO:0018973	Trinitrotoluene metabolic process
GO:0018974	2,4,6-trinitrotoluene metabolic process
GO:0019001	Guanyl nucleotide binding
GO:0019008	Molybdopterin synthase complex
GO:0019042	Viral latency
GO:0019043	Establishment of viral latency
GO:0019058	Viral life cycle
GO:0019104	DNA N-glycosylase activity
GO:0019114	Catechol dioxygenase activity
GO:0019115	Benzaldehyde dehydrogenase [NAD(P)+] activity
GO:0019134	glucosamine-1-phosphate N-acetyltransferase activity
GO:0019136	Deoxynucleoside kinase activity
GO:0019150	D-ribulokinase activity
GO:0019152	Acetoin dehydrogenase activity
GO:0019154	Glycolate dehydrogenase activity
GO:0019171	3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity
GO:0019172	Glyoxalase III activity
GO:0019184	Nonribosomal peptide biosynthetic process
GO:0019200	Carbohydrate kinase activity
GO:0019202	Amino acid kinase activity
GO:0019203	Carbohydrate phosphatase activity
GO:0019205	Nucleobase-containing compound kinase activity
GO:0019206	Nucleoside kinase activity
GO:0019207	Kinase regulator activity
GO:0019209	Kinase activator activity
GO:0019210	Kinase inhibitor activity
GO:0019213	Deacetylase activity
GO:0019216	Regulation of lipid metabolic process
GO:0019217	Regulation of fatty acid metabolic process
GO:0019219	Regulation of nucleobase-containing compound metabolic process
GO:0019220	Regulation of phosphate metabolic process
GO:0019222	Regulation of metabolic process
GO:0019238	Cyclohydrolase activity
GO:0019239	Deaminase activity
GO:0019240	Citrulline biosynthetic process
GO:0019242	Methylglyoxal biosynthetic process
GO:0019243	Methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
GO:0019249	Lactate biosynthetic process
GO:0019262	N-acetylneuraminate catabolic process
GO:0019264	Glycine biosynthetic process from serine
GO:0019265	Glycine biosynthetic process, by transamination of glyoxylate
GO:0019276	UDP-N-acetylgalactosamine metabolic process
GO:0019277	UDP-N-acetylgalactosamine biosynthetic process
GO:0019279	L-methionine biosynthetic process from L-homoserine via cystathionine
GO:0019281	L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine
GO:0019284	L-methionine salvage from S-adenosylmethionine
GO:0019285	Glycine betaine biosynthetic process from choline
GO:0019288	Isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
GO:0019290	Siderophore biosynthetic process
GO:0019299	Rhamnose metabolic process
GO:0019301	Rhamnose catabolic process
GO:0019303	D-ribose catabolic process
GO:0019305	dTDP-rhamnose biosynthetic process
GO:0019310	Inositol catabolic process
GO:0019313	Allose metabolic process
GO:0019314	D-allose metabolic process
GO:0019316	D-allose catabolic process
GO:0019318	Hexose metabolic process
GO:0019319	Hexose biosynthetic process
GO:0019320	Hexose catabolic process
GO:0019321	Pentose metabolic process
GO:0019323	Pentose catabolic process
GO:0019324	L-lyxose metabolic process
GO:0019326	Nitrotoluene metabolic process
GO:0019333	Denitrification pathway
GO:0019343	Cysteine biosynthetic process via cystathionine
GO:0019344	Cysteine biosynthetic process
GO:0019346	Transsulfuration
GO:0019350	Teichoic acid biosynthetic process
GO:0019354	Siroheme biosynthetic process
GO:0019359	Nicotinamide nucleotide biosynthetic process
GO:0019362	Pyridine nucleotide metabolic process
GO:0019363	Pyridine nucleotide biosynthetic process
GO:0019364	Pyridine nucleotide catabolic process
GO:0019365	Pyridine nucleotide salvage
GO:0019379	Sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)
GO:0019388	Galactose catabolic process
GO:0019392	Glucarate metabolic process
GO:0019394	Glucarate catabolic process
GO:0019395	Fatty acid oxidation
GO:0019400	Alditol metabolic process
GO:0019405	Alditol catabolic process
GO:0019407	Hexitol catabolic process
GO:0019419	Sulfate reduction
GO:0019430	Removal of superoxide radicals
GO:0019438	Aromatic compound biosynthetic process
GO:0019439	Aromatic compound catabolic process
GO:0019464	Glycine decarboxylation via glycine cleavage system
GO:0019474	L-lysine catabolic process to acetyl-CoA
GO:0019475	L-lysine catabolic process to acetate
GO:0019477	L-lysine catabolic process
GO:0019478	D-amino acid catabolic process
GO:0019509	L-methionine salvage from methylthioadenosine
GO:0019516	Lactate oxidation
GO:0019518	L-threonine catabolic process to glycine
GO:0019520	Aldonic acid metabolic process
GO:0019521	D-gluconate metabolic process
GO:0019538	Protein metabolic process
GO:0019541	Propionate metabolic process
GO:0019543	Propionate catabolic process
GO:0019546	Arginine deiminase pathway
GO:0019547	Arginine catabolic process to ornithine
GO:0019556	Histidine catabolic process to glutamate and formamide
GO:0019557	Histidine catabolic process to glutamate and formate
GO:0019563	Glycerol catabolic process
GO:0019566	Arabinose metabolic process
GO:0019568	Arabinose catabolic process
GO:0019569	L-arabinose catabolic process to xylulose 5-phosphate
GO:0019572	L-arabinose catabolic process
GO:0019577	Aldaric acid metabolic process
GO:0019579	Aldaric acid catabolic process
GO:0019580	Galactarate metabolic process
GO:0019585	Glucuronate metabolic process
GO:0019586	Galacturonate metabolic process
GO:0019592	Mannitol catabolic process
GO:0019594	Mannitol metabolic process
GO:0019605	Butyrate metabolic process
GO:0019626	Short-chain fatty acid catabolic process
GO:0019627	Urea metabolic process
GO:0019628	Urate catabolic process
GO:0019629	Propionate catabolic process, 2-methylcitrate cycle
GO:0019630	Quinate metabolic process
GO:0019631	Quinate catabolic process
GO:0019632	Shikimate metabolic process
GO:0019637	Organophosphate metabolic process
GO:0019645	Anaerobic electron transport chain
GO:0019646	Aerobic electron transport chain
GO:0019647	Formaldehyde assimilation via ribulose monophosphate cycle
GO:0019649	Formaldehyde assimilation
GO:0019665	Anaerobic amino acid catabolic process
GO:0019666	Nitrogenous compound fermentation
GO:0019674	NAD metabolic process
GO:0019676	Ammonia assimilation cycle
GO:0019677	NAD catabolic process
GO:0019679	Propionate metabolic process, methylcitrate cycle
GO:0019682	glyceraldehyde-3-phosphate metabolic process
GO:0019692	Deoxyribose phosphate metabolic process
GO:0019693	Ribose phosphate metabolic process
GO:0019694	Alkanesulfonate metabolic process
GO:0019695	Choline metabolic process
GO:0019698	D-galacturonate catabolic process
GO:0019720	Mo-molybdopterin cofactor metabolic process
GO:0019725	Cellular homeostasis
GO:0019740	Nitrogen utilization
GO:0019748	Secondary metabolic process
GO:0019751	Polyol metabolic process
GO:0019752	Carboxylic acid metabolic process
GO:0019805	Quinolinate biosynthetic process
GO:0019825	Oxygen binding
GO:0019829	ATPase-coupled cation transmembrane transporter activity
GO:0019835	Cytolysis
GO:0019842	Vitamin binding
GO:0019843	rRNA binding
GO:0019852	L-ascorbic acid metabolic process
GO:0019853	L-ascorbic acid biosynthetic process
GO:0019856	Pyrimidine nucleobase biosynthetic process
GO:0019859	Thymine metabolic process
GO:0019860	Uracil metabolic process
GO:0019866	Organelle inner membrane
GO:0019867	Outer membrane
GO:0019877	Diaminopimelate biosynthetic process
GO:0019878	Lysine biosynthetic process via aminoadipic acid
GO:0019887	Protein kinase regulator activity
GO:0019897	Extrinsic component of plasma membrane
GO:0019898	Extrinsic component of membrane
GO:0019899	Enzyme binding
GO:0019932	Second-messenger-mediated signaling
GO:0019954	Asexual reproduction
GO:0019985	Translesion synthesis
GO:0019988	charged-tRNA amino acid modification
GO:0020037	Heme binding
GO:0022402	Cell cycle process
GO:0022411	Cellular component disassembly
GO:0022414	Reproductive process
GO:0022603	Regulation of anatomical structure morphogenesis
GO:0022604	Regulation of cell morphogenesis
GO:0022607	Cellular component assembly
GO:0022613	Ribonucleoprotein complex biogenesis
GO:0022616	DNA strand elongation
GO:0022618	Ribonucleoprotein complex assembly
GO:0022625	Cytosolic large ribosomal subunit
GO:0022626	Cytosolic ribosome
GO:0022627	Cytosolic small ribosomal subunit
GO:0022803	Passive transmembrane transporter activity
GO:0022804	Active transmembrane transporter activity
GO:0022821	Potassium ion antiporter activity
GO:0022834	Ligand-gated channel activity
GO:0022836	Gated channel activity
GO:0022853	Active ion transmembrane transporter activity
GO:0022857	Transmembrane transporter activity
GO:0022858	Alanine transmembrane transporter activity
GO:0022872	protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity
GO:0022877	protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity
GO:0022884	Macromolecule transmembrane transporter activity
GO:0022890	Inorganic cation transmembrane transporter activity
GO:0022898	Regulation of transmembrane transporter activity
GO:0022900	Electron transport chain
GO:0022904	Respiratory electron transport chain
GO:0023051	Regulation of signaling
GO:0023052	Signaling
GO:0030001	Metal ion transport
GO:0030003	Cellular cation homeostasis
GO:0030004	Cellular monovalent inorganic cation homeostasis
GO:0030026	Cellular manganese ion homeostasis
GO:0030030	Cell projection organization
GO:0030031	Cell projection assembly
GO:0030060	L-malate dehydrogenase activity
GO:0030091	Protein repair
GO:0030104	Water homeostasis
GO:0030145	Manganese ion binding
GO:0030151	Molybdenum ion binding
GO:0030152	Bacteriocin biosynthetic process
GO:0030153	Bacteriocin immunity
GO:0030154	Cell differentiation
GO:0030162	Regulation of proteolysis
GO:0030163	Protein catabolic process
GO:0030170	Pyridoxal phosphate binding
GO:0030174	Regulation of DNA-templated DNA replication initiation
GO:0030203	Glycosaminoglycan metabolic process
GO:0030234	Enzyme regulator activity
GO:0030243	Cellulose metabolic process
GO:0030245	Cellulose catabolic process
GO:0030246	Carbohydrate binding
GO:0030247	Polysaccharide binding
GO:0030248	Cellulose binding
GO:0030254	Protein secretion by the type III secretion system
GO:0030257	Type III protein secretion system complex
GO:0030258	Lipid modification
GO:0030259	Lipid glycosylation
GO:0030261	Chromosome condensation
GO:0030267	Glyoxylate reductase (NADP+) activity
GO:0030272	5-formyltetrahydrofolate cyclo-ligase activity
GO:0030288	Outer membrane-bounded periplasmic space
GO:0030295	Protein kinase activator activity
GO:0030312	External encapsulating structure
GO:0030313	Cell envelope
GO:0030350	Iron-responsive element binding
GO:0030366	Molybdopterin synthase activity
GO:0030378	Serine racemase activity
GO:0030388	Fructose 1,6-bisphosphate metabolic process
GO:0030395	Lactose binding
GO:0030414	Peptidase inhibitor activity
GO:0030420	Establishment of competence for transformation
GO:0030428	Cell septum
GO:0030435	Sporulation resulting in formation of a cellular spore
GO:0030436	Asexual sporulation
GO:0030488	tRNA methylation
GO:0030490	Maturation of SSU-rRNA
GO:0030497	Fatty acid elongation
GO:0030523	Dihydrolipoamide S-acyltransferase activity
GO:0030527	Structural constituent of chromatin
GO:0030545	Signaling receptor regulator activity
GO:0030546	Signaling receptor activator activity
GO:0030551	Cyclic nucleotide binding
GO:0030554	Adenyl nucleotide binding
GO:0030570	Pectate lyase activity
GO:0030572	Phosphatidyltransferase activity
GO:0030604	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity
GO:0030611	Arsenate reductase activity
GO:0030612	Arsenate reductase (thioredoxin) activity
GO:0030632	D-alanine biosynthetic process
GO:0030638	Polyketide metabolic process
GO:0030639	Polyketide biosynthetic process
GO:0030641	Regulation of cellular pH
GO:0030650	Peptide antibiotic metabolic process
GO:0030651	Peptide antibiotic biosynthetic process
GO:0030653	Beta-lactam antibiotic metabolic process
GO:0030655	Beta-lactam antibiotic catabolic process
GO:0030674	Protein-macromolecule adaptor activity
GO:0030677	Ribonuclease P complex
GO:0030694	Bacterial-type flagellum basal body, rod
GO:0030696	tRNA (m5U54) methyltransferase activity
GO:0030698	5,10-methylenetetrahydrofolate-dependent tRNA (m5U54) methyltransferase activity
GO:0030880	RNA polymerase complex
GO:0030894	Replisome
GO:0030908	Protein splicing
GO:0030920	Peptidyl-serine acetylation
GO:0030955	Potassium ion binding
GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex
GO:0030973	Molybdate ion binding
GO:0030975	Thiamine binding
GO:0030976	Thiamine pyrophosphate binding
GO:0030983	Mismatched DNA binding
GO:0031012	Extracellular matrix
GO:0031071	Cysteine desulfurase activity
GO:0031072	Heat shock protein binding
GO:0031090	Organelle membrane
GO:0031106	Septin ring organization
GO:0031118	rRNA pseudouridine synthesis
GO:0031119	tRNA pseudouridine synthesis
GO:0031123	RNA 3-end processing
GO:0031125	rRNA 3-end processing
GO:0031160	Spore wall
GO:0031163	Metallo-sulfur cluster assembly
GO:0031167	rRNA methylation
GO:0031176	endo-1,4-beta-xylanase activity
GO:0031177	Phosphopantetheine binding
GO:0031218	Arabinogalactan endo-1,4-beta-galactosidase activity
GO:0031221	Arabinan metabolic process
GO:0031222	Arabinan catabolic process
GO:0031224	Intrinsic component of membrane
GO:0031226	Intrinsic component of plasma membrane
GO:0031234	Extrinsic component of cytoplasmic side of plasma membrane
GO:0031279	Regulation of cyclase activity
GO:0031281	Positive regulation of cyclase activity
GO:0031320	Hexitol dehydrogenase activity
GO:0031323	Regulation of cellular metabolic process
GO:0031324	Negative regulation of cellular metabolic process
GO:0031325	Positive regulation of cellular metabolic process
GO:0031326	Regulation of cellular biosynthetic process
GO:0031327	Negative regulation of cellular biosynthetic process
GO:0031328	Positive regulation of cellular biosynthetic process
GO:0031329	Regulation of cellular catabolic process
GO:0031333	Negative regulation of protein-containing complex assembly
GO:0031344	Regulation of cell projection organization
GO:0031346	Positive regulation of cell projection organization
GO:0031365	N-terminal protein amino acid modification
GO:0031388	Organic acid phosphorylation
GO:0031399	Regulation of protein modification process
GO:0031401	Positive regulation of protein modification process
GO:0031402	Sodium ion binding
GO:0031404	Chloride ion binding
GO:0031406	Carboxylic acid binding
GO:0031420	Alkali metal ion binding
GO:0031455	Glycine betaine metabolic process
GO:0031456	Glycine betaine biosynthetic process
GO:0031460	Glycine betaine transport
GO:0031522	Cell envelope Sec protein transport complex
GO:0031554	Regulation of DNA-templated transcription, termination
GO:0031564	Transcription antitermination
GO:0031589	Cell-substrate adhesion
GO:0031597	Cytosolic proteasome complex
GO:0031667	Response to nutrient levels
GO:0031668	Cellular response to extracellular stimulus
GO:0031669	Cellular response to nutrient levels
GO:0031670	Cellular response to nutrient
GO:0031956	Medium-chain fatty acid-CoA ligase activity
GO:0031967	Organelle envelope
GO:0031975	Envelope
GO:0032048	Cardiolipin metabolic process
GO:0032049	Cardiolipin biosynthetic process
GO:0032101	Regulation of response to external stimulus
GO:0032102	Negative regulation of response to external stimulus
GO:0032104	Regulation of response to extracellular stimulus
GO:0032105	Negative regulation of response to extracellular stimulus
GO:0032131	Alkylated DNA binding
GO:0032147	Activation of protein kinase activity
GO:0032153	Cell division site
GO:0032156	Septin cytoskeleton
GO:0032185	Septin cytoskeleton organization
GO:0032194	Ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate
GO:0032196	Transposition
GO:0032217	Riboflavin transmembrane transporter activity
GO:0032218	Riboflavin transport
GO:0032259	Methylation
GO:0032261	Purine nucleotide salvage
GO:0032262	Pyrimidine nucleotide salvage
GO:0032263	GMP salvage
GO:0032264	IMP salvage
GO:0032265	XMP salvage
GO:0032271	Regulation of protein polymerization
GO:0032272	Negative regulation of protein polymerization
GO:0032296	Double-stranded RNA-specific ribonuclease activity
GO:0032297	Negative regulation of DNA-templated DNA replication initiation
GO:0032299	Ribonuclease H2 complex
GO:0032300	Mismatch repair complex
GO:0032324	Molybdopterin cofactor biosynthetic process
GO:0032328	Alanine transport
GO:0032356	Oxidized DNA binding
GO:0032357	Oxidized purine DNA binding
GO:0032392	DNA geometric change
GO:0032409	Regulation of transporter activity
GO:0032411	Positive regulation of transporter activity
GO:0032412	Regulation of ion transmembrane transporter activity
GO:0032414	Positive regulation of ion transmembrane transporter activity
GO:0032494	Response to peptidoglycan
GO:0032502	Developmental process
GO:0032505	Reproduction of a single-celled organism
GO:0032506	Cytokinetic process
GO:0032508	DNA duplex unwinding
GO:0032535	Regulation of cellular component size
GO:0032549	Ribonucleoside binding
GO:0032553	Ribonucleotide binding
GO:0032555	Purine ribonucleotide binding
GO:0032559	Adenyl ribonucleotide binding
GO:0032561	Guanyl ribonucleotide binding
GO:0032774	RNA biosynthetic process
GO:0032775	DNA methylation on adenine
GO:0032776	DNA methylation on cytosine
GO:0032781	Positive regulation of ATP-dependent activity
GO:0032784	Regulation of DNA-templated transcription, elongation
GO:0032787	Monocarboxylic acid metabolic process
GO:0032790	Ribosome disassembly
GO:0032791	Lead ion binding
GO:0032879	Regulation of localization
GO:0032940	Secretion by cell
GO:0032954	Regulation of cytokinetic process
GO:0032977	Membrane insertase activity
GO:0032984	Protein-containing complex disassembly
GO:0032989	Cellular component morphogenesis
GO:0032991	Protein-containing complex
GO:0032993	protein-DNA complex
GO:0033013	Tetrapyrrole metabolic process
GO:0033014	Tetrapyrrole biosynthetic process
GO:0033036	Macromolecule localization
GO:0033037	Polysaccharide localization
GO:0033043	Regulation of organelle organization
GO:0033177	Proton-transporting two-sector ATPase complex, proton-transporting domain
GO:0033178	Proton-transporting two-sector ATPase complex, catalytic domain
GO:0033201	alpha-1,4-glucan synthase activity
GO:0033202	DNA helicase complex
GO:0033204	Ribonuclease P RNA binding
GO:0033212	Iron import into cell
GO:0033214	Siderophore-dependent iron import into cell
GO:0033218	Amide binding
GO:0033232	ABC-type D-methionine transporter activity
GO:0033281	TAT protein transport complex
GO:0033283	ATPase-coupled organic acid transmembrane transporter activity
GO:0033284	ATPase-coupled carboxylic acid transmembrane transporter activity
GO:0033293	Monocarboxylic acid binding
GO:0033299	Secretion of lysosomal enzymes
GO:0033353	S-adenosylmethionine cycle
GO:0033365	Protein localization to organelle
GO:0033388	Putrescine biosynthetic process from arginine
GO:0033389	Putrescine biosynthetic process from arginine, using agmatinase
GO:0033477	S-methylmethionine metabolic process
GO:0033499	Galactose catabolic process via UDP-galactose
GO:0033500	Carbohydrate homeostasis
GO:0033512	L-lysine catabolic process to acetyl-CoA via saccharopine
GO:0033528	S-methylmethionine cycle
GO:0033539	Fatty acid beta-oxidation using acyl-CoA dehydrogenase
GO:0033554	Cellular response to stress
GO:0033558	Protein lysine deacetylase activity
GO:0033567	DNA replication, Okazaki fragment processing
GO:0033573	High-affinity iron permease complex
GO:0033592	RNA strand annealing activity
GO:0033609	Oxalate metabolic process
GO:0033674	Positive regulation of kinase activity
GO:0033692	Cellular polysaccharide biosynthetic process
GO:0033739	preQ1 synthase activity
GO:0033743	Peptide-methionine (R)-S-oxide reductase activity
GO:0033744	L-methionine:thioredoxin-disulfide S-oxidoreductase activity
GO:0033818	Beta-ketoacyl-acyl-carrier-protein synthase III activity
GO:0033819	Lipoyl(octanoyl) transferase activity
GO:0033862	UMP kinase activity
GO:0033865	Nucleoside bisphosphate metabolic process
GO:0033866	Nucleoside bisphosphate biosynthetic process
GO:0033875	Ribonucleoside bisphosphate metabolic process
GO:0033912	2,6-beta-fructan 6-levanbiohydrolase activity
GO:0033922	Peptidoglycan beta-N-acetylmuramidase activity
GO:0033925	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity
GO:0033940	Glucuronoarabinoxylan endo-1,4-beta-xylanase activity
GO:0033971	Hydroxyisourate hydrolase activity
GO:0034023	5-(carboxyamino)imidazole ribonucleotide mutase activity
GO:0034026	L-amino-acid alpha-ligase activity
GO:0034028	5-(carboxyamino)imidazole ribonucleotide synthase activity
GO:0034030	Ribonucleoside bisphosphate biosynthetic process
GO:0034032	Purine nucleoside bisphosphate metabolic process
GO:0034033	Purine nucleoside bisphosphate biosynthetic process
GO:0034035	Purine ribonucleoside bisphosphate metabolic process
GO:0034036	Purine ribonucleoside bisphosphate biosynthetic process
GO:0034039	8-oxo-7,8-dihydroguanine DNA N-glycosylase activity
GO:0034040	ATPase-coupled lipid transmembrane transporter activity
GO:0034061	DNA polymerase activity
GO:0034062	5-3 RNA polymerase activity
GO:0034069	Aminoglycoside N-acetyltransferase activity
GO:0034077	Butanediol metabolic process
GO:0034078	Butanediol catabolic process
GO:0034212	Peptide N-acetyltransferase activity
GO:0034213	Quinolinate catabolic process
GO:0034219	Carbohydrate transmembrane transport
GO:0034220	Ion transmembrane transport
GO:0034227	tRNA thio-modification
GO:0034228	Ethanolamine transmembrane transporter activity
GO:0034229	Ethanolamine transport
GO:0034237	Protein kinase A regulatory subunit binding
GO:0034248	Regulation of cellular amide metabolic process
GO:0034249	Negative regulation of cellular amide metabolic process
GO:0034250	Positive regulation of cellular amide metabolic process
GO:0034284	Response to monosaccharide
GO:0034308	Primary alcohol metabolic process
GO:0034309	Primary alcohol biosynthetic process
GO:0034311	Diol metabolic process
GO:0034312	Diol biosynthetic process
GO:0034313	Diol catabolic process
GO:0034335	DNA negative supercoiling activity
GO:0034355	NAD salvage
GO:0034386	4-aminobutyrate:2-oxoglutarate transaminase activity
GO:0034404	Nucleobase-containing small molecule biosynthetic process
GO:0034414	tRNA 3-trailer cleavage, endonucleolytic
GO:0034440	Lipid oxidation
GO:0034458	3-5 RNA helicase activity
GO:0034470	ncRNA processing
GO:0034471	ncRNA 5-end processing
GO:0034599	Cellular response to oxidative stress
GO:0034605	Cellular response to heat
GO:0034614	Cellular response to reactive oxygen species
GO:0034618	Arginine binding
GO:0034627	De novo NAD biosynthetic process
GO:0034628	De novo NAD biosynthetic process from aspartate
GO:0034635	Glutathione transport
GO:0034637	Cellular carbohydrate biosynthetic process
GO:0034641	Cellular nitrogen compound metabolic process
GO:0034645	Cellular macromolecule biosynthetic process
GO:0034654	Nucleobase-containing compound biosynthetic process
GO:0034655	Nucleobase-containing compound catabolic process
GO:0034656	Nucleobase-containing small molecule catabolic process
GO:0034660	ncRNA metabolic process
GO:0034661	ncRNA catabolic process
GO:0034701	Tripeptidase activity
GO:0034708	Methyltransferase complex
GO:0034754	Cellular hormone metabolic process
GO:0034755	Iron ion transmembrane transport
GO:0034762	Regulation of transmembrane transport
GO:0034764	Positive regulation of transmembrane transport
GO:0034765	Regulation of ion transmembrane transport
GO:0034767	Positive regulation of ion transmembrane transport
GO:0034775	Glutathione transmembrane transport
GO:0034979	NAD-dependent protein deacetylase activity
GO:0035251	UDP-glucosyltransferase activity
GO:0035383	Thioester metabolic process
GO:0035384	Thioester biosynthetic process
GO:0035429	Gluconate transmembrane transport
GO:0035433	Acetate transmembrane transport
GO:0035434	Copper ion transmembrane transport
GO:0035435	Phosphate ion transmembrane transport
GO:0035438	cyclic-di-GMP binding
GO:0035443	Tripeptide transmembrane transport
GO:0035461	Vitamin transmembrane transport
GO:0035485	Adenine/guanine mispair binding
GO:0035510	DNA dealkylation
GO:0035524	Proline transmembrane transport
GO:0035529	NADH pyrophosphatase activity
GO:0035539	8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity
GO:0035550	Urease complex
GO:0035556	Intracellular signal transduction
GO:0035592	Establishment of protein localization to extracellular region
GO:0035596	Methylthiotransferase activity
GO:0035597	N6-isopentenyladenosine methylthiotransferase activity
GO:0035598	N6-threonylcarbomyladenosine methylthiotransferase activity
GO:0035600	tRNA methylthiolation
GO:0035601	Protein deacylation
GO:0035639	Purine ribonucleoside triphosphate binding
GO:0035672	Oligopeptide transmembrane transport
GO:0035674	Tricarboxylic acid transmembrane transport
GO:0035725	Sodium ion transmembrane transport
GO:0035821	Modulation of process of another organism
GO:0035870	dITP diphosphatase activity
GO:0035873	Lactate transmembrane transport
GO:0035998	7,8-dihydroneopterin 3-triphosphate biosynthetic process
GO:0035999	Tetrahydrofolate interconversion
GO:0036009	Protein-glutamine N-methyltransferase activity
GO:0036042	Long-chain fatty acyl-CoA binding
GO:0036088	D-serine catabolic process
GO:0036094	Small molecule binding
GO:0036199	cholest-4-en-3-one 26-monooxygenase activity
GO:0036211	Protein modification process
GO:0036218	dTTP diphosphatase activity
