IDpg10	IDbsub	BiolProc	MolFun	CellComp
ANY36627.1	BSU23880			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY35451.1	BSU23890	GO:0006810 GO:0008104 GO:0009987 GO:0015031 GO:0016043 GO:0033036 GO:0045184 GO:0051179 GO:0051205 GO:0051234 GO:0051641 GO:0051668 GO:0061024 GO:0070727 GO:0071702 GO:0071705 GO:0071840 GO:0072657 GO:0090150	GO:0032977 GO:0140104 GO:0140597	GO:0005886 GO:0005887 GO:0016020 GO:0016021 GO:0031224 GO:0031226 GO:0071944 GO:0110165
ANY35452.1	BSU23900			
ANY35453.1	BSU23910	GO:0006508 GO:0006807 GO:0008152 GO:0019538 GO:0043170 GO:0044238 GO:0071704 GO:1901564	GO:0003824 GO:0005488 GO:0008233 GO:0008237 GO:0016787 GO:0043167 GO:0043169 GO:0046872 GO:0140096	
ANY35454.1	BSU23920	GO:0006082 GO:0006629 GO:0006631 GO:0006633 GO:0008152 GO:0008610 GO:0009058 GO:0009987 GO:0016053 GO:0019752 GO:0032787 GO:0043436 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0044281 GO:0044283 GO:0046394 GO:0071704 GO:0072330 GO:1901576	GO:0000166 GO:0003824 GO:0003989 GO:0004658 GO:0005488 GO:0005524 GO:0016421 GO:0016874 GO:0016885 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0009317 GO:0032991 GO:0110165 GO:1902494
ANY35455.1	BSU23930	GO:0006139 GO:0006163 GO:0006637 GO:0006725 GO:0006753 GO:0006790 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009117 GO:0009150 GO:0009259 GO:0009987 GO:0019637 GO:0019693 GO:0033865 GO:0033875 GO:0034032 GO:0034641 GO:0035383 GO:0043603 GO:0044237 GO:0044238 GO:0044281 GO:0046483 GO:0046491 GO:0055086 GO:0071704 GO:0072521 GO:1901135 GO:1901360 GO:1901564	GO:0003824 GO:0004462 GO:0004493 GO:0005488 GO:0016829 GO:0016846 GO:0016853 GO:0016854 GO:0043167 GO:0043169 GO:0046872	
ANY35456.1	BSU30740	GO:0006810 GO:0006811 GO:0009987 GO:0010035 GO:0010038 GO:0010043 GO:0042221 GO:0050896 GO:0051179 GO:0051234 GO:0055085		GO:0005886 GO:0005887 GO:0016020 GO:0016021 GO:0031224 GO:0031226 GO:0032991 GO:0043190 GO:0071944 GO:0098533 GO:0098796 GO:0098797 GO:0110165 GO:1902495 GO:1990351
ANY35457.1	BSU23940	GO:0000270 GO:0006022 GO:0006023 GO:0006024 GO:0006807 GO:0008152 GO:0008360 GO:0009058 GO:0009059 GO:0009252 GO:0009273 GO:0009987 GO:0016043 GO:0018104 GO:0022603 GO:0022604 GO:0030203 GO:0034645 GO:0042546 GO:0043170 GO:0044036 GO:0044038 GO:0044085 GO:0044237 GO:0044249 GO:0044260 GO:0045229 GO:0050789 GO:0050793 GO:0065007 GO:0070589 GO:0071554 GO:0071555 GO:0071704 GO:0071840 GO:1901135 GO:1901137 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0004180 GO:0004185 GO:0008233 GO:0008236 GO:0008238 GO:0016740 GO:0016757 GO:0016787 GO:0017171 GO:0070008 GO:0071972 GO:0140096	
ANY35458.1	BSU23950			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY35459.1	BSU23960	GO:0003333 GO:0006810 GO:0006865 GO:0009987 GO:0015849 GO:0051179 GO:0051234 GO:0055085 GO:0071702 GO:0071705 GO:1903825 GO:1905039	GO:0000166 GO:0005215 GO:0005342 GO:0005488 GO:0005524 GO:0015171 GO:0015399 GO:0015424 GO:0017076 GO:0022804 GO:0022857 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0033283 GO:0033284 GO:0035639 GO:0036094 GO:0042626 GO:0043167 GO:0043168 GO:0046943 GO:0097159 GO:0097367 GO:0140359 GO:0140657 GO:1901265 GO:1901363	GO:0005886 GO:0016020 GO:0071944 GO:0110165
ANY35460.1	BSU23970	GO:0006810 GO:0006865 GO:0009987 GO:0015849 GO:0051179 GO:0051234 GO:0055085 GO:0071702 GO:0071705	GO:0005215 GO:0022857	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0032991 GO:0043190 GO:0071944 GO:0098533 GO:0098796 GO:0098797 GO:0110165 GO:1902495 GO:1990351
ANY35461.1	BSU23980	GO:0006810 GO:0006811 GO:0006865 GO:0009987 GO:0015849 GO:0034220 GO:0051179 GO:0051234 GO:0055085 GO:0071702 GO:0071705	GO:0005215 GO:0005216 GO:0015075 GO:0015267 GO:0015276 GO:0015318 GO:0022803 GO:0022834 GO:0022836 GO:0022857	GO:0005886 GO:0016020 GO:0071944 GO:0110165
ANY35462.1	BSU23990		GO:0003824 GO:0016491	
ANY35463.1	BSU24000	GO:0006629 GO:0006644 GO:0006793 GO:0006796 GO:0008152 GO:0008610 GO:0008654 GO:0009058 GO:0009987 GO:0016310 GO:0019637 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0071704 GO:0090407 GO:1901576	GO:0000166 GO:0003824 GO:0003951 GO:0004143 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0097159 GO:0097367 GO:1901265 GO:1901363	
ANY35464.1	BSU24010	GO:0006810 GO:0009987 GO:0042221 GO:0046677 GO:0050896 GO:0051179 GO:0051234 GO:0055085	GO:0005215 GO:0022857	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY35465.1	BSU24020	GO:0006355 GO:0009889 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0031323 GO:0031326 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141	GO:0003676 GO:0003677 GO:0005488 GO:0097159 GO:1901363	
ANY35466.1	BSU24030	GO:0005975 GO:0006082 GO:0006090 GO:0006091 GO:0006096 GO:0006099 GO:0006139 GO:0006163 GO:0006165 GO:0006725 GO:0006753 GO:0006757 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009056 GO:0009060 GO:0009117 GO:0009132 GO:0009135 GO:0009141 GO:0009144 GO:0009150 GO:0009179 GO:0009185 GO:0009199 GO:0009205 GO:0009259 GO:0009987 GO:0015980 GO:0016052 GO:0016310 GO:0019637 GO:0019693 GO:0019752 GO:0032787 GO:0034641 GO:0043436 GO:0044237 GO:0044238 GO:0044281 GO:0045333 GO:0046031 GO:0046034 GO:0046483 GO:0046939 GO:0055086 GO:0071704 GO:0072521 GO:1901135 GO:1901360 GO:1901564 GO:1901575	GO:0003824 GO:0004149 GO:0016417 GO:0016740 GO:0016746 GO:0016747 GO:0016748 GO:0016751 GO:0043754 GO:0140096	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY35467.1	BSU24040	GO:0006082 GO:0006520 GO:0006807 GO:0007584 GO:0008152 GO:0009056 GO:0009063 GO:0009081 GO:0009083 GO:0009605 GO:0009987 GO:0009991 GO:0016054 GO:0019752 GO:0031667 GO:0042221 GO:0043436 GO:0044237 GO:0044238 GO:0044248 GO:0044281 GO:0044282 GO:0046395 GO:0050896 GO:0071704 GO:1901564 GO:1901565 GO:1901575	GO:0003824 GO:0003863 GO:0016491 GO:0016624 GO:0016903	
ANY35468.1	BSU24050	GO:0006082 GO:0006520 GO:0006807 GO:0008152 GO:0009056 GO:0009063 GO:0009081 GO:0009083 GO:0009987 GO:0016054 GO:0019752 GO:0043436 GO:0044237 GO:0044238 GO:0044248 GO:0044281 GO:0044282 GO:0046395 GO:0071704 GO:1901564 GO:1901565 GO:1901575	GO:0003824 GO:0003863 GO:0005488 GO:0016491 GO:0016624 GO:0016903 GO:0043167 GO:0043169 GO:0046872	
ANY35469.1	BSU24060	GO:0005975 GO:0006082 GO:0006090 GO:0006091 GO:0006096 GO:0006139 GO:0006163 GO:0006165 GO:0006725 GO:0006753 GO:0006757 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009056 GO:0009117 GO:0009132 GO:0009135 GO:0009141 GO:0009144 GO:0009150 GO:0009179 GO:0009185 GO:0009199 GO:0009205 GO:0009259 GO:0009987 GO:0016052 GO:0016310 GO:0019637 GO:0019693 GO:0019725 GO:0019752 GO:0032787 GO:0034641 GO:0042592 GO:0043436 GO:0044237 GO:0044238 GO:0044281 GO:0045454 GO:0046031 GO:0046034 GO:0046483 GO:0046939 GO:0050789 GO:0050794 GO:0055086 GO:0065007 GO:0065008 GO:0071704 GO:0072521 GO:1901135 GO:1901360 GO:1901564 GO:1901575	GO:0000166 GO:0003824 GO:0004148 GO:0005488 GO:0016491 GO:0016667 GO:0016668 GO:0036094 GO:0043167 GO:0043168 GO:0050660 GO:0097159 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY35470.1	BSU24070	GO:0006082 GO:0006083 GO:0006793 GO:0006796 GO:0008152 GO:0009987 GO:0016310 GO:0019752 GO:0032787 GO:0043436 GO:0044237 GO:0044281 GO:0071704	GO:0000166 GO:0003824 GO:0005488 GO:0005524 GO:0008776 GO:0016301 GO:0016740 GO:0016772 GO:0016774 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0047761 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY35471.1	BSU24080	GO:0006082 GO:0006520 GO:0006551 GO:0006552 GO:0006807 GO:0008152 GO:0009056 GO:0009063 GO:0009081 GO:0009083 GO:0009987 GO:0016054 GO:0019752 GO:0043436 GO:0044237 GO:0044238 GO:0044248 GO:0044281 GO:0044282 GO:0046395 GO:0071704 GO:1901564 GO:1901565 GO:1901575 GO:1901605 GO:1901606	GO:0003824 GO:0016491 GO:0016638 GO:0016639 GO:0050049	
ANY35472.1	BSU24090	GO:0006082 GO:0006629 GO:0006631 GO:0008152 GO:0009987 GO:0019605 GO:0019752 GO:0032787 GO:0043436 GO:0044237 GO:0044238 GO:0044255 GO:0044281 GO:0046459 GO:0071704	GO:0003824 GO:0016740 GO:0016746 GO:0016747 GO:0050182	
ANY35473.1	BSU24100	GO:0000160 GO:0006355 GO:0007154 GO:0007165 GO:0009889 GO:0009987 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0023052 GO:0031323 GO:0031326 GO:0035556 GO:0050789 GO:0050794 GO:0050896 GO:0051171 GO:0051252 GO:0051716 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141	GO:0000166 GO:0003676 GO:0003677 GO:0005488 GO:0005524 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043565 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY35474.1	BSU24110			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY35475.1	BSU24120	GO:0006082 GO:0006629 GO:0006631 GO:0008152 GO:0009056 GO:0009062 GO:0009987 GO:0016042 GO:0016054 GO:0019541 GO:0019543 GO:0019626 GO:0019629 GO:0019752 GO:0032787 GO:0043436 GO:0044237 GO:0044238 GO:0044242 GO:0044248 GO:0044255 GO:0044281 GO:0044282 GO:0046395 GO:0046459 GO:0071704 GO:0072329 GO:1901575	GO:0003824 GO:0005488 GO:0016829 GO:0016830 GO:0016833 GO:0043167 GO:0043169 GO:0046421 GO:0046872	
ANY35476.1	BSU24130	GO:0006082 GO:0006091 GO:0006099 GO:0006629 GO:0006631 GO:0008152 GO:0009060 GO:0009653 GO:0009987 GO:0015980 GO:0019541 GO:0019679 GO:0019752 GO:0030154 GO:0030435 GO:0032502 GO:0032787 GO:0043436 GO:0043934 GO:0044237 GO:0044238 GO:0044255 GO:0044281 GO:0045333 GO:0046459 GO:0048646 GO:0048856 GO:0048869 GO:0071704	GO:0003824 GO:0005488 GO:0016829 GO:0016835 GO:0016836 GO:0047547 GO:0047780 GO:0051536 GO:0051537 GO:0051540	
ANY35477.1	BSU24140	GO:0005975 GO:0006082 GO:0006091 GO:0006099 GO:0006629 GO:0006631 GO:0008152 GO:0009060 GO:0009653 GO:0009987 GO:0015980 GO:0019541 GO:0019679 GO:0019752 GO:0030154 GO:0030435 GO:0032502 GO:0032787 GO:0043436 GO:0043934 GO:0044237 GO:0044238 GO:0044255 GO:0044281 GO:0045333 GO:0046459 GO:0048646 GO:0048856 GO:0048869 GO:0071704	GO:0003824 GO:0004108 GO:0016740 GO:0016746 GO:0036440 GO:0046912 GO:0050440	
ANY35478.1	BSU24150	GO:0006082 GO:0006629 GO:0006631 GO:0006635 GO:0008152 GO:0009056 GO:0009062 GO:0009653 GO:0009987 GO:0016042 GO:0016054 GO:0019395 GO:0019752 GO:0030154 GO:0030258 GO:0030435 GO:0032502 GO:0032787 GO:0033539 GO:0034440 GO:0043436 GO:0043934 GO:0044237 GO:0044238 GO:0044242 GO:0044248 GO:0044255 GO:0044281 GO:0044282 GO:0046395 GO:0048646 GO:0048856 GO:0048869 GO:0071704 GO:0072329 GO:1901575	GO:0000166 GO:0003824 GO:0003995 GO:0005488 GO:0016491 GO:0016627 GO:0036094 GO:0043167 GO:0043168 GO:0050660 GO:0097159 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY35479.1	BSU24160	GO:0006082 GO:0006629 GO:0006631 GO:0008152 GO:0009653 GO:0009987 GO:0019605 GO:0019752 GO:0030154 GO:0030435 GO:0032502 GO:0032787 GO:0043436 GO:0043934 GO:0044237 GO:0044238 GO:0044255 GO:0044281 GO:0046459 GO:0048646 GO:0048856 GO:0048869 GO:0071704	GO:0000166 GO:0003824 GO:0005488 GO:0008691 GO:0016491 GO:0016614 GO:0016616 GO:0036094 GO:0043167 GO:0043168 GO:0051287 GO:0070403 GO:0097159 GO:1901265 GO:1901363	
ANY35480.1	BSU24170	GO:0006082 GO:0006629 GO:0006631 GO:0006635 GO:0008152 GO:0009056 GO:0009062 GO:0009653 GO:0009987 GO:0016042 GO:0016054 GO:0019395 GO:0019752 GO:0030154 GO:0030258 GO:0030435 GO:0032502 GO:0032787 GO:0034440 GO:0043436 GO:0043934 GO:0044237 GO:0044238 GO:0044242 GO:0044248 GO:0044255 GO:0044281 GO:0044282 GO:0046395 GO:0048646 GO:0048856 GO:0048869 GO:0071704 GO:0072329 GO:1901575	GO:0003824 GO:0003985 GO:0003988 GO:0016407 GO:0016408 GO:0016453 GO:0016740 GO:0016746 GO:0016747	GO:0005622 GO:0005737 GO:0110165
ANY35481.1	BSU24180	GO:0006629 GO:0008152 GO:0044238 GO:0071704	GO:0003824 GO:0008081 GO:0016787 GO:0016788 GO:0042578	
ANY35482.1	BSU24190	GO:0000270 GO:0006022 GO:0006026 GO:0006027 GO:0006807 GO:0008152 GO:0009056 GO:0009057 GO:0009253 GO:0030203 GO:0043170 GO:0071704 GO:1901135 GO:1901136 GO:1901564 GO:1901565 GO:1901575	GO:0003824 GO:0008745 GO:0016787 GO:0016810 GO:0016811 GO:0061783	
ANY35483.1	BSU24200			GO:0005886 GO:0016020 GO:0071944 GO:0110165
ANY36628.1	BSU23980	GO:0006810 GO:0006811 GO:0006865 GO:0009987 GO:0015849 GO:0034220 GO:0051179 GO:0051234 GO:0055085 GO:0071702 GO:0071705	GO:0005215 GO:0005216 GO:0015075 GO:0015267 GO:0015276 GO:0015318 GO:0022803 GO:0022834 GO:0022836 GO:0022857	GO:0005886 GO:0016020 GO:0071944 GO:0110165
ANY35484.1	BSU24210		GO:0000166 GO:0003824 GO:0005488 GO:0010181 GO:0016491 GO:0032553 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	
ANY35485.1	BSU37230	GO:0006810 GO:0006869 GO:0009987 GO:0010876 GO:0033036 GO:0051179 GO:0051234 GO:0055085 GO:0071702	GO:0000166 GO:0005215 GO:0005319 GO:0005488 GO:0005524 GO:0015399 GO:0017076 GO:0022804 GO:0022857 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0034040 GO:0035639 GO:0036094 GO:0042626 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140359 GO:0140657 GO:1901265 GO:1901363	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0045121 GO:0071944 GO:0098857 GO:0110165
ANY35486.1	BSU24220	GO:0000160 GO:0000910 GO:0006355 GO:0007049 GO:0007154 GO:0007165 GO:0008356 GO:0009653 GO:0009889 GO:0009891 GO:0009893 GO:0009987 GO:0010468 GO:0010556 GO:0010557 GO:0010604 GO:0016043 GO:0019219 GO:0019222 GO:0022402 GO:0022607 GO:0023052 GO:0030154 GO:0030435 GO:0031323 GO:0031325 GO:0031326 GO:0031328 GO:0032502 GO:0032506 GO:0035556 GO:0042173 GO:0042710 GO:0043934 GO:0043937 GO:0043938 GO:0044010 GO:0044085 GO:0045595 GO:0045597 GO:0045881 GO:0045893 GO:0045935 GO:0048518 GO:0048522 GO:0048646 GO:0048856 GO:0048869 GO:0050789 GO:0050793 GO:0050794 GO:0050896 GO:0051094 GO:0051171 GO:0051173 GO:0051252 GO:0051254 GO:0051301 GO:0051606 GO:0051703 GO:0051716 GO:0060255 GO:0065007 GO:0071840 GO:0080090 GO:0090529 GO:0090604 GO:0090606 GO:0098630 GO:0098743 GO:1902680 GO:1903506 GO:1903508 GO:2001141	GO:0003676 GO:0003677 GO:0003700 GO:0005488 GO:0005509 GO:0043167 GO:0043169 GO:0046872 GO:0097159 GO:0140110 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY36629.1	BSU21760			
ANY35487.1	BSU24240	GO:0000724 GO:0000725 GO:0006139 GO:0006259 GO:0006281 GO:0006302 GO:0006310 GO:0006725 GO:0006807 GO:0006950 GO:0006974 GO:0007154 GO:0008152 GO:0009314 GO:0009432 GO:0009605 GO:0009628 GO:0009987 GO:0009991 GO:0031668 GO:0033554 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0050896 GO:0051716 GO:0071496 GO:0071704 GO:0090304 GO:1901360	GO:0000166 GO:0003824 GO:0005488 GO:0005524 GO:0008094 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140097 GO:0140299 GO:0140612 GO:0140640 GO:0140657 GO:0140664 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0009295 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0043590 GO:0110165
ANY35488.1	BSU24250	GO:0006082 GO:0006355 GO:0006520 GO:0006525 GO:0006526 GO:0006527 GO:0006591 GO:0006807 GO:0008152 GO:0008652 GO:0009056 GO:0009058 GO:0009063 GO:0009064 GO:0009065 GO:0009084 GO:0009889 GO:0009987 GO:0010468 GO:0010556 GO:0016043 GO:0016053 GO:0016054 GO:0019219 GO:0019222 GO:0019547 GO:0019752 GO:0022607 GO:0031323 GO:0031326 GO:0043436 GO:0043933 GO:0044085 GO:0044237 GO:0044238 GO:0044248 GO:0044249 GO:0044281 GO:0044282 GO:0044283 GO:0046394 GO:0046395 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0051259 GO:0060255 GO:0065003 GO:0065007 GO:0071704 GO:0071840 GO:0080090 GO:1901564 GO:1901565 GO:1901566 GO:1901575 GO:1901576 GO:1901605 GO:1901606 GO:1901607 GO:1903506 GO:2001141	GO:0003676 GO:0003677 GO:0003700 GO:0005488 GO:0016597 GO:0031406 GO:0034618 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0043177 GO:0097159 GO:0140110 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY35489.1	BSU24260	GO:0006139 GO:0006364 GO:0006396 GO:0006725 GO:0006807 GO:0008152 GO:0009987 GO:0010467 GO:0016070 GO:0016072 GO:0022613 GO:0032259 GO:0034470 GO:0034641 GO:0034660 GO:0042254 GO:0043170 GO:0044085 GO:0044237 GO:0044238 GO:0046483 GO:0071704 GO:0071840 GO:0090304 GO:1901360	GO:0003676 GO:0003723 GO:0003824 GO:0005488 GO:0008168 GO:0016740 GO:0016741 GO:0097159 GO:1901363	
ANY35490.1	BSU24270	GO:0006066 GO:0006081 GO:0006082 GO:0006090 GO:0006629 GO:0006644 GO:0006720 GO:0006721 GO:0006725 GO:0006766 GO:0006767 GO:0006772 GO:0006790 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0008299 GO:0008610 GO:0008654 GO:0009058 GO:0009110 GO:0009228 GO:0009240 GO:0009987 GO:0016114 GO:0018130 GO:0019288 GO:0019438 GO:0019637 GO:0019682 GO:0019752 GO:0032787 GO:0034308 GO:0034309 GO:0034641 GO:0042364 GO:0042723 GO:0042724 GO:0043436 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0044271 GO:0044272 GO:0044281 GO:0044283 GO:0046165 GO:0046483 GO:0046490 GO:0052863 GO:0052865 GO:0071704 GO:0072527 GO:0072528 GO:0090407 GO:1901135 GO:1901137 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576 GO:1901615 GO:1901617	GO:0000287 GO:0003824 GO:0005488 GO:0008661 GO:0016740 GO:0016744 GO:0019842 GO:0030976 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0050997 GO:0097159 GO:1901363 GO:1901681	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY35491.1	BSU24280	GO:0006629 GO:0006720 GO:0008152 GO:0008299 GO:0008610 GO:0009058 GO:0009987 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0071704 GO:1901576	GO:0003824 GO:0004337 GO:0004659 GO:0005488 GO:0016740 GO:0016765 GO:0043167 GO:0043169 GO:0046872	GO:0005622 GO:0005737 GO:0110165
ANY35492.1	BSU24290	GO:0006139 GO:0006259 GO:0006308 GO:0006725 GO:0006807 GO:0008152 GO:0009056 GO:0009057 GO:0009987 GO:0019439 GO:0034641 GO:0034655 GO:0043170 GO:0044237 GO:0044238 GO:0044248 GO:0044260 GO:0044265 GO:0044270 GO:0046483 GO:0046700 GO:0071704 GO:0090304 GO:0090305 GO:1901360 GO:1901361 GO:1901575	GO:0003824 GO:0004518 GO:0004527 GO:0004529 GO:0004536 GO:0008855 GO:0016787 GO:0016788 GO:0016796 GO:0016895 GO:0140097 GO:0140640	GO:0005622 GO:0005737 GO:0005829 GO:0009318 GO:0032991 GO:0110165 GO:0140535 GO:1902494
ANY35493.1	BSU24300	GO:0006139 GO:0006259 GO:0006308 GO:0006725 GO:0006807 GO:0008152 GO:0009056 GO:0009057 GO:0009987 GO:0019439 GO:0034641 GO:0034655 GO:0043170 GO:0044237 GO:0044238 GO:0044248 GO:0044260 GO:0044265 GO:0044270 GO:0046483 GO:0046700 GO:0071704 GO:0090304 GO:0090305 GO:1901360 GO:1901361 GO:1901575	GO:0003676 GO:0003824 GO:0004518 GO:0004527 GO:0004529 GO:0004536 GO:0005488 GO:0008855 GO:0016787 GO:0016788 GO:0016796 GO:0016895 GO:0097159 GO:0140097 GO:0140640 GO:1901363	GO:0005622 GO:0005737 GO:0009318 GO:0032991 GO:0110165 GO:0140535 GO:1902494
ANY35494.1	BSU24310	GO:0000096 GO:0000097 GO:0000105 GO:0006082 GO:0006139 GO:0006163 GO:0006164 GO:0006520 GO:0006547 GO:0006555 GO:0006575 GO:0006725 GO:0006730 GO:0006753 GO:0006760 GO:0006790 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0008652 GO:0009058 GO:0009066 GO:0009067 GO:0009086 GO:0009117 GO:0009165 GO:0009987 GO:0016053 GO:0018130 GO:0019438 GO:0019637 GO:0019752 GO:0034641 GO:0034654 GO:0035999 GO:0042558 GO:0043436 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044272 GO:0044281 GO:0044283 GO:0046394 GO:0046483 GO:0046653 GO:0055086 GO:0071704 GO:0072521 GO:0072522 GO:0090407 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576 GO:1901605 GO:1901607	GO:0003824 GO:0004477 GO:0004486 GO:0004488 GO:0016491 GO:0016645 GO:0016646 GO:0016787 GO:0016810 GO:0016814 GO:0019238	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY35495.1	BSU24320	GO:0006139 GO:0006351 GO:0006353 GO:0006355 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009889 GO:0009987 GO:0010467 GO:0010468 GO:0010556 GO:0016070 GO:0018130 GO:0019219 GO:0019222 GO:0019438 GO:0031323 GO:0031326 GO:0031554 GO:0031564 GO:0032774 GO:0034641 GO:0034654 GO:0043170 GO:0043244 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0046483 GO:0050789 GO:0050794 GO:0051128 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0071704 GO:0080090 GO:0090304 GO:0097659 GO:1901360 GO:1901362 GO:1901576 GO:1903506 GO:2001141	GO:0003676 GO:0003723 GO:0005488 GO:0097159 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY35496.1	BSU24330			
ANY35497.1	BSU24340	GO:0006082 GO:0006139 GO:0006163 GO:0006164 GO:0006629 GO:0006631 GO:0006633 GO:0006637 GO:0006725 GO:0006753 GO:0006790 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0008610 GO:0009058 GO:0009117 GO:0009150 GO:0009152 GO:0009165 GO:0009259 GO:0009260 GO:0009987 GO:0016053 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0019752 GO:0032787 GO:0033865 GO:0033866 GO:0033875 GO:0034030 GO:0034032 GO:0034033 GO:0034641 GO:0034654 GO:0035383 GO:0035384 GO:0043436 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0044271 GO:0044272 GO:0044281 GO:0044283 GO:0046390 GO:0046394 GO:0046483 GO:0055086 GO:0071616 GO:0071704 GO:0072330 GO:0072521 GO:0072522 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576 GO:2001293 GO:2001295	GO:0000166 GO:0003824 GO:0003989 GO:0004075 GO:0005488 GO:0005524 GO:0016421 GO:0016874 GO:0016879 GO:0016885 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0097159 GO:0097367 GO:1901265 GO:1901363	
ANY35498.1	BSU24350	GO:0006082 GO:0006629 GO:0006631 GO:0006633 GO:0008152 GO:0008610 GO:0009058 GO:0009987 GO:0016053 GO:0019752 GO:0032787 GO:0043436 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0044281 GO:0044283 GO:0046394 GO:0071704 GO:0072330 GO:1901576	GO:0003824 GO:0003989 GO:0016421 GO:0016874 GO:0016885	GO:0005622 GO:0005737 GO:0009317 GO:0032991 GO:0110165 GO:1902494
ANY35499.1	BSU24360	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869		GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
